,name,MAE,MAE_lower_bound,MAE_upper_bound,RMSE,RMSE_lower_bound,RMSE_upper_bound,pearsons_r,pearsons_r_lower_bound,pearsons_r_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,spearmans_rho,spearmans_rho_lower_bound,spearmans_rho_upper_bound
0,55_NaCl_0Mg_TP3_GAF_40_1ns_unres,1.4220984889444666,0.45119071606477784,2.5190536589974886,1.9818669722611426,0.8480670364643039,2.7794993822617964,0.7602795001932168,0.29389029255607446,0.9999421788232236,0.4666666666666666,-0.16666666666666669,1.0,0.6571428571428573,-0.22580645161290325,1.0
1,55_NaCl_2Mg_TP3_GAF_40_1ns_unres,2.1956584458477546,1.4594556614132312,2.855634911347575,2.3690338781628153,1.7593385506745367,2.9167791965239656,0.8990217491078647,0.7103184288578288,0.9996322895921,0.7333333333333333,-0.09090909090909091,1.0,0.8285714285714287,0.0,1.0
2,55_NaCl_3Mg_TP3_GAF_40_1ns_unres,2.9729864494848166,2.3391101881048804,3.8155275862824083,3.1094655160940037,2.3852841691437003,3.925638672668792,0.5610245812583464,0.10013841912984267,0.9974517128644095,0.7333333333333333,0.23076923076923078,1.0,0.8857142857142858,0.4545454545454545,1.0
3,55_NaCl_0Mg_TP3_GAF_40_1ns_BBres,2.2392154152218287,1.306070620729083,3.0883080786537547,2.4839080392336537,1.6677419768049628,3.1627158963919437,0.648667218234821,0.123520390188736,0.9995056043458042,0.7333333333333333,-0.09090909090909091,1.0,0.8857142857142858,0.0,1.0
4,55_NaCl_2Mg_TP3_GAF_40_1ns_BBres,2.615582395538664,1.5939470895182912,3.626849514403157,2.9132563727696135,1.8645456591191854,3.69380746432875,0.6587115609899814,0.04557517906943387,0.9998622135980659,0.7333333333333333,-0.09090909090909091,1.0,0.8857142857142858,0.0,1.0
5,55_NaCl_3Mg_TP3_GAF_40_1ns_BBres,2.6965042470582183,1.3993066570446577,4.112120124001501,3.212875677035273,1.4546859081725823,4.378457353582711,0.3811824844570829,-0.3162860722537625,0.9950601045780476,0.3333333333333333,-0.5000000000000001,1.0,0.4285714285714286,-0.7419354838709679,1.0
6,55_NaCl_2Mg_OPC_GAF_40_1ns_unres,2.2518091448615354,1.0281564034651594,3.475461886257912,2.7768280704383215,1.1107654810219443,3.766963953281212,0.27328341451992966,-0.6556818654296555,0.9976888112703008,0.3333333333333333,-0.5384615384615385,1.0,0.5428571428571429,-0.6363636363636362,1.0
7,55_NaCl_2Mg_TP3_OFF_40_1ns_unres,2.447935324758028,1.468633944503302,3.6484560249522846,2.800530233011401,1.6000899204590588,3.907970128550719,0.5009119676352006,-0.35344660866656696,0.9877667194113746,0.4666666666666666,-0.23076923076923078,1.0,0.7142857142857143,-0.0909090909090909,1.0
8,55_NaCl_3Mg_TP3_OFF_40_1ns_unres,2.3609726029945404,1.282178284513775,3.5303396657250787,2.7329830391661862,1.5936539923057351,3.8059663582301027,0.6964617727877671,-0.22470652521298637,0.9989136421990612,0.4666666666666666,-0.6363636363636364,1.0,0.6,-0.8000000000000002,1.0
9,55_KCl_2Mg_TP3_GAF_40_1ns_unres,1.9149526340790715,0.7172257388759982,3.259228236044122,2.474883940975836,0.9150143383560051,3.637444296360671,0.3469325770420714,-0.991197590414848,0.9998793478594618,0.06666666666666665,-1.0,1.0,0.14285714285714288,-1.0,1.0
10,55_KCl_3Mg_TP3_GAF_40_1ns_unres,2.392266058649151,1.3748671109835833,3.710384255619798,2.794398924320415,1.443146530675651,3.9571552174431726,0.46218246870875684,-0.09659110509226451,0.9968363389421571,0.4666666666666666,-0.45454545454545453,1.0,0.6,-0.6000000000000001,1.0
11,150_KCl_2Mg_TP3_GAF_40_1ns_unres,1.7286125002332682,0.6776232842004607,3.2941739467121294,2.459791226061121,0.7143103743277037,3.9856613938177303,0.2336743301567037,-0.7568511613165052,0.9999062312618971,0.4666666666666666,-0.33333333333333337,1.0,0.6,-0.5000000000000001,1.0
12,0_NaCl_3Mg_TP3_GAF_40_1ns_unres,2.5280978719928124,1.791729745629194,3.412519765848875,2.742169058173679,1.864708128419977,3.57236085087199,0.8232693106442648,-0.2844357280432156,0.9985067520504329,0.4666666666666666,-0.5384615384615385,1.0,0.6,-0.6363636363636362,1.0
13,55_NaCl_2Mg_TP3_GAF_80_1ns_unres,2.795120733032528,2.2096045106343314,3.554116692523874,2.9056627527209224,2.2716516811541037,3.6308786710396337,0.88772096219055,0.6848600320855986,0.9994804308394376,0.7333333333333333,-0.09090909090909091,1.0,0.8857142857142858,0.0,1.0
14,55_NaCl_2Mg_TP3_GAF_40_2ns_unres,2.805958379877565,1.976243449252206,3.5116210118015374,2.9552094512897478,2.12825576948006,3.5337494047377276,0.8510981263698287,0.249851513384729,0.9922985207600168,0.6,-0.23076923076923078,1.0,0.7714285714285715,-0.0909090909090909,1.0
15,55_NaCl_2Mg_TP3_GAF_80_1ns_BBres,2.1554876286563878,1.391557763959126,3.0077299518928604,2.399798214375526,1.5018750427639893,3.1327411732395696,0.7252591011512549,0.17284646412367605,0.9999978547396059,0.8666666666666666,0.33333333333333337,1.0,0.942857142857143,0.5000000000000001,1.0
16,55_NaCl_2Mg_TP3_GAF_40_2ns_BBres,2.4108313741362983,1.5012264604733268,3.294433127143465,2.62793891467442,1.764227274834224,3.413351001852651,0.5556550885922387,0.04772863481688781,0.9997431171379301,0.6,-0.23076923076923078,1.0,0.7142857142857143,-0.33333333333333326,1.0
17,55_NaCl_0Mg_TP3_GAF_80_1ns_BBres,1.8086210985764362,1.029413557374575,2.441094048903723,1.99950660272742,1.3785168647551613,2.533594044461145,0.8399323051476196,0.595080202588957,0.999980419642505,0.7333333333333333,0.1111111111111111,1.0,0.8857142857142858,0.19999999999999998,1.0
18,55_NaCl_0Mg_TP3_GAF_40_2ns_BBres,2.2621225739737194,1.3537713514685585,3.367757529326422,2.6026592235927573,1.444527437644371,3.7191064475389517,0.5436857120901343,-0.03961825977321066,0.9969965231216975,0.7333333333333333,-0.09090909090909091,1.0,0.8857142857142858,0.0,1.0
19,MMGBSA_for_RNA_salt_Mg,8.266877777777779,6.419250000000001,10.075849999999999,8.5440437701967,6.7619536575224695,10.2510508144197,0.322667176127762,-0.6791955132982919,0.9997653197517155,0.4666666666666666,-0.6363636363636364,1.0,0.6,-0.8000000000000002,1.0
20,MMGBSA_for_RNA_salt,7.810866666666667,5.184955555555557,10.43677777777778,8.609096426498008,5.5201940295676275,11.204411925880573,0.07980459303055815,-0.9116872105275464,0.9996766613966133,0.4666666666666666,-0.6363636363636364,1.0,0.4285714285714286,-0.8000000000000002,1.0
